,Order ID,Order Date,Ship Date,Customer Name,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
0,CA-2013-152156,09-11-2013,12-11-2013,Claire Gute,USA,Henderson,Kentucky,42420,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
1,CA-2013-152156,09-11-2013,12-11-2013,Claire Gute,USA,Henderson,Kentucky,42420,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
2,CA-2013-138688,13-06-2013,17-06-2013,Darrin Van Huff,USA,Los Angeles,California,90036,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
3,US-2012-108966,11-10-2012,18-10-2012,Sean O'Donnell,USA,Fort Lauderdale,Florida,33311,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
4,US-2012-108966,11-10-2012,18-10-2012,Sean O'Donnell,USA,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
5,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
6,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
7,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
8,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
9,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
10,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
11,CA-2011-115812,09-06-2011,14-06-2011,Brosina Hoffman,USA,Los Angeles,California,90032,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
12,CA-2014-114412,16-04-2014,21-04-2014,Andrew Allen,USA,Concord,North Carolina,28027,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
13,CA-2013-161389,06-12-2013,11-12-2013,Irene Maddox,USA,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
14,US-2012-118983,22-11-2012,26-11-2012,Harold Pawlan,USA,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",229.8769888,5,0.8,-123.858
15,US-2012-118983,22-11-2012,26-11-2012,Harold Pawlan,USA,Fort Worth,Texas,76106,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
16,CA-2011-105893,11-11-2011,18-11-2011,Pete Kriz,USA,Madison,Wisconsin,53711,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
